Epsilon,Epoch,MIA Accuracy,MIA AUC,Threshold,Attack Type
No DP,1,0.7479131886477463,0.519881177196665,0.34638375,threshold_confidence
No DP,5,0.7581385642737897,0.6327674598657758,0.92926306,threshold_confidence
No DP,10,0.7988313856427379,0.687177905296535,0.9738409,threshold_confidence
ε=10.0,1,0.7479131886477463,0.49963563686287843,0.3355861,threshold_confidence
ε=10.0,5,0.7479131886477463,0.4985871256356433,0.3349205,threshold_confidence
ε=10.0,10,0.7485392320534223,0.49951264265018924,0.33855948,threshold_confidence
ε=1.0,1,0.7481218697829716,0.507758798301502,0.43291837,threshold_confidence
ε=1.0,5,0.7479131886477463,0.5089851603151608,0.36482483,threshold_confidence
ε=1.0,10,0.7479131886477463,0.5060824968956954,0.33450064,threshold_confidence
ε=0.1,1,0.7479131886477463,0.5053386417558539,0.33538374,threshold_confidence
ε=0.1,5,0.7479131886477463,0.49671045337630093,0.33437076,threshold_confidence
ε=0.1,10,0.7479131886477463,0.4995440552566225,0.3343576,threshold_confidence
